a12,b12,c12,a25,b25,c25,a50,b50,c50,a1,b1,c1,aDisk,bDisk,cDisk
13.067166320979595,12.57691832291403,11.251136586368034,26.13433264195919,25.563618734319775,23.823371342241465,52.26866528391838,51.5596879063594,49.22204069833796,104.53733056783676,93.5151455155552,93.46181959696479,40.43950513005257,39.87253575402683,37.886236293909
13.766082003712654,13.66351483257306,13.17942904307951,27.53216400742531,27.095750115682037,26.58022618475913,55.06432801485062,53.29846187790483,50.75854479256918,110.12865602970123,107.94381135745432,100.20521745790897,58.10020491480827,56.1649924753553,53.58474511632179
12.020496651530266,11.806451198455997,11.516471497086277,24.04099330306053,23.509150487457834,22.634972852894805,48.08198660612106,46.83494351359602,46.09828610002868,96.16397321224213,95.40429971652942,91.58184476814542,77.61485874652863,75.96447170290455,72.85871764436597
14.223597943782806,14.13055444386372,12.389624532140115,28.447195887565613,28.038475330352632,24.787162502692734,56.894391775131226,55.04097928692986,50.16833608607458,113.78878355026245,110.0229070256163,97.79332934962669,67.25693494081497,66.0461856509957,60.014742667230024
13.828999362885952,13.749993727392708,12.085458658209946,27.657998725771904,27.621874574978445,24.012413517725367,55.31599745154381,54.16596971461458,48.1243695100113,110.63199490308762,107.23883476294681,96.84867940533286,73.53099435567856,71.5265048894732,63.905143973286755
12.746130116283894,12.630949570923615,11.65695233290307,25.492260232567787,24.519923509750083,23.88688607892868,50.984520465135574,46.881846352635165,45.563901422081265,101.96904093027115,84.12501315784652,68.74234890163653,47.34143242239952,43.88699779253695,42.55267303943969
14.332598075270653,14.246657293624478,13.026068551180058,28.665196150541306,28.49723254485007,24.955719353934978,57.33039230108261,56.32563595840124,47.99177735749075,114.66078460216522,111.03533809260533,91.81452471844912,81.31517469882965,80.30325424195514,67.59098638215723
14.717299491167068,14.65158488697889,13.663155340344858,29.434598982334137,29.024478218517597,27.32375401633972,58.869197964668274,57.96574126729798,54.20560182560781,117.73839592933655,113.69040045035929,102.34479401426776,92.61464327573776,88.8229062554228,81.33330070059293
14.430174604058266,14.058402183702995,13.247700274173331,28.86034920811653,27.504972699780303,25.892356314824433,57.72069841623306,53.51948781110091,51.03505867595728,115.44139683246613,109.64910805327659,89.05421036275824,80.73465526103973,75.27277950738917,70.91044398243989
14.262879267334938,13.791189858803213,12.604728558234994,28.525758534669876,27.243178327298082,24.455381721323963,57.05151706933975,53.46450524977018,49.29807088568909,114.1030341386795,100.60655800379172,95.26356954892294,90.05248546600342,79.95259163190863,75.86896969398195
12.746136635541916,12.433728019708841,11.625119722175222,25.492273271083832,23.7046230034677,21.61399667489161,50.984546542167664,46.47338947442689,38.599485300216344,101.96909308433533,99.95747431734657,88.60768206771854,54.68818545341492,50.19969294631451,41.45758012093299
